,Timestamp,Operating System,CPU Cycle Rate (in GHz),CPU Number of Cores (int),RAM (in GB),Hard Drive Size (in GB),GPU (short description as a string),GPU CUDA Number of Cores (int)
37,6/13/23 13:35,MacOS,1.4,4,8,256,0,0
38,6/13/23 13:36,MacOS,3.5,8,8,16,M2 with 10-core GPU,10
39,6/13/23 13:37,Windows,2.6,4,16,471,Intel(R) Iris(R) Xe Graphics,1000
40,6/13/23 13:37,Windows,2,8,16,512,AMD Radeon (TM) Graphics,8
41,6/13/23 13:37,Windows,2.6,6,16,371,Intel UHD 630,1
42,6/13/23 13:37,Windows,1.7,10,16,952,Intel(R) Iris(R) Xe Graphics,0
43,6/13/23 13:37,MacOS,2.5,2,4,500,Intel HD Graphics 4000 1024 MB,12
44,6/13/23 13:38,MacOS,2.4,8,16,250,Intel UHD Graphics 630,192
45,6/13/23 13:38,MacOS,3.2,10,64,2000,Built-in GPU,24
46,6/13/23 13:38,MacOS,3.2,10,64,4000,Apple M1 Max 32-Core GPU,32
47,6/13/23 13:38,MacOS,3.5,8,8,500,Apple M2 (10 Core),10
48,6/13/23 13:38,Windows,1.9,4,16,461,Intel(R) UHD Graphics 620,24
49,6/13/23 13:40,Windows,1.7,4,16,222,Intel(r) UHD Graphics 620,192
50,6/13/23 13:41,MacOS,2.3,2,8,500,Intel Iris Plus Graphics 640,384
51,6/13/23 13:43,MacOS,3.2,10,32,1000,Apple M1 Pro,16
52,6/13/23 13:43,Windows,2.6,2,8,238,Intel(R) HD Graphics 520,192
53,6/13/23 13:44,MacOS,2.3,4,8,250,Intel Iris Plus Graphics 655,384
54,6/13/23 13:44,MacOS,3.1,2,16,500,Intel Iris Graphics 6100,384
55,6/13/23 13:45,Windows,1.6,4,8,237,Intel(R) UHD Graphics 620,4
56,6/13/23 13:45,Windows,2.5,4,16,475,Intel (R) HD Graphics 520,4
57,6/13/23 13:45,Windows,2.5,2,8,237,Intel(R) HD Graphics 620,0
58,6/13/23 13:45,MacOS,2.3,2,8,256,M2 integrates an Apple designed ten-core (eight in some base models) graphics processing unit,0
59,6/13/23 13:47,MacOS,2.3,2,8,500,Integrated Graphics,0
60,6/13/23 13:49,Windows,1.8,5,8,224,Zero point two out of three point nine,5
61,6/13/23 13:52,MacOS,2.3,2,8,250,Intel Iris Plus Graphics 640,0
